"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"615","2015-01-01 15:08:29","2015-01-01 15:18:44","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","761","Subscriber","1967","1"
"62","2015-01-01 15:15:00","2015-01-01 15:16:03","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","956","Customer","1954","1"
"737","2015-01-01 15:15:24","2015-01-01 15:27:41","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","143","EF - North Point Park","42.369885","-71.069957","481","Customer","1960","1"
"667","2015-01-01 15:16:37","2015-01-01 15:27:45","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","143","EF - North Point Park","42.369885","-71.069957","670","Customer","1954","1"
"747","2015-01-01 15:22:40","2015-01-01 15:35:08","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","673","Subscriber",\N,"0"
"712","2015-01-01 15:23:12","2015-01-01 15:35:05","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","182","Subscriber","1989","2"
"880","2015-01-01 15:33:03","2015-01-01 15:47:43","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","142","Alewife Station at Russell Field","42.396105","-71.139459","743","Subscriber","1944","1"
"400","2015-01-01 15:40:19","2015-01-01 15:47:00","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","784","Subscriber",\N,"0"
"1276","2015-01-01 15:41:30","2015-01-01 16:02:46","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","940","Subscriber","1964","1"
"743","2015-01-01 15:47:34","2015-01-01 15:59:57","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","1220","Customer","1970","1"
"191","2015-01-01 16:05:03","2015-01-01 16:08:15","107","Ames St at Main St","42.3625","-71.08822","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1046","Subscriber","1988","1"
"400","2015-01-01 16:06:28","2015-01-01 16:13:09","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","739","Subscriber","1989","2"
"548","2015-01-01 16:07:24","2015-01-01 16:16:33","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","876","Subscriber",\N,"0"
"768","2015-01-01 16:15:02","2015-01-01 16:27:51","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","513","Customer","1946","1"
"1224","2015-01-01 16:18:22","2015-01-01 16:38:46","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","38","TD Garden - Causeway at Portal Park #2","42.366222","-71.059914","177","Subscriber",\N,"0"
"1229","2015-01-01 16:18:24","2015-01-01 16:38:54","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","38","TD Garden - Causeway at Portal Park #2","42.366222","-71.059914","966","Subscriber",\N,"0"
"413","2015-01-01 16:19:32","2015-01-01 16:26:26","143","EF - North Point Park","42.369885","-71.069957","85","Spaulding Rehabilitation Hospital - Charlestown Navy Yard","42.378338","-71.048927","481","Subscriber","1983","1"
"293","2015-01-01 16:24:57","2015-01-01 16:29:50","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1291","Subscriber","1964","1"
"859","2015-01-01 16:26:01","2015-01-01 16:40:21","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","642","Subscriber","1985","2"
"965","2015-01-01 16:29:55","2015-01-01 16:46:01","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","781","Subscriber","1957","2"
"487","2015-01-01 16:32:09","2015-01-01 16:40:16","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","1095","Subscriber","1989","2"
"174","2015-01-01 16:34:14","2015-01-01 16:37:09","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","651","Customer","1986","1"
"680","2015-01-01 16:50:22","2015-01-01 17:01:42","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1276","Subscriber","1985","2"
"283","2015-01-01 16:53:21","2015-01-01 16:58:05","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","143","EF - North Point Park","42.369885","-71.069957","990","Subscriber","1992","1"
"1008","2015-01-01 17:03:29","2015-01-01 17:20:18","142","Alewife Station at Russell Field","42.396105","-71.139459","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","743","Subscriber","1944","1"
"546","2015-01-01 17:13:29","2015-01-01 17:22:35","117","Binney St / Sixth St","42.366095","-71.086388","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","646","Subscriber","1982","2"
"516","2015-01-01 17:13:51","2015-01-01 17:22:28","117","Binney St / Sixth St","42.366095","-71.086388","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","770","Subscriber","1984","1"
"265","2015-01-01 17:28:07","2015-01-01 17:32:32","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","107","Ames St at Main St","42.3625","-71.08822","707","Subscriber","1995","1"
"267","2015-01-01 17:28:11","2015-01-01 17:32:38","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","107","Ames St at Main St","42.3625","-71.08822","797","Subscriber","1995","1"
